ingredient,AIC,Artusi,total_usage,artusi_freq,aic_freq,freq_diff
pork loin,17.0,3.0,20.0,0.37974683544303794,0.6540977298961139,0.274350894453076
tomato sauce or paste,1.0,19.0,20.0,2.4050632911392404,0.038476337052712584,-2.366586954086528
black olive,20.0,0.0,20.0,0.0,0.7695267410542517,0.7695267410542517
white pepper,16.0,3.0,19.0,0.37974683544303794,0.6156213928434013,0.2358745574003634
olive oil or lard,12.0,7.0,19.0,0.8860759493670887,0.461716044632551,-0.42435990473453766
mint,19.0,0.0,19.0,0.0,0.7310504040015391,0.7310504040015391
green bean,12.0,7.0,19.0,0.8860759493670887,0.461716044632551,-0.42435990473453766
borlotti bean,19.0,0.0,19.0,0.0,0.7310504040015391,0.7310504040015391
tuna in oil,13.0,5.0,18.0,0.6329113924050633,0.5001923816852636,-0.13271901071979975
saffron thread,18.0,0.0,18.0,0.0,0.6925740669488265,0.6925740669488265
red wine vinegar,18.0,0.0,18.0,0.0,0.6925740669488265,0.6925740669488265
yeast,18.0,0.0,18.0,0.0,0.6925740669488265,0.6925740669488265
guanciale,18.0,0.0,18.0,0.0,0.6925740669488265,0.6925740669488265
chicken giblet,8.0,10.0,18.0,1.2658227848101267,0.30781069642170067,-0.958012088388426
scamorza,18.0,0.0,18.0,0.0,0.6925740669488265,0.6925740669488265
cold butter,3.0,15.0,18.0,1.89873417721519,0.11542901115813775,-1.7833051660570522
orange blossom water,10.0,7.0,17.0,0.8860759493670887,0.38476337052712584,-0.5013125788399628
yellow polenta,16.0,1.0,17.0,0.12658227848101267,0.6156213928434013,0.48903911436238867
gruyère,6.0,11.0,17.0,1.3924050632911391,0.2308580223162755,-1.1615470409748636
vialone nano rice,17.0,0.0,17.0,0.0,0.6540977298961139,0.6540977298961139
cognac,11.0,6.0,17.0,0.7594936708860759,0.42323970757983836,-0.3362539633062375
chicken breast,10.0,7.0,17.0,0.8860759493670887,0.38476337052712584,-0.5013125788399628
squid,16.0,1.0,17.0,0.12658227848101267,0.6156213928434013,0.48903911436238867
bread dough,16.0,1.0,17.0,0.12658227848101267,0.6156213928434013,0.48903911436238867
seed oil,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
sweet pecorino cheese,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
sheep's milk ricotta,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
grappa,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
carnaroli rice,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
ground veal,16.0,0.0,16.0,0.0,0.6156213928434013,0.6156213928434013
vanilla extract,2.0,13.0,15.0,1.6455696202531647,0.07695267410542517,-1.5686169461477395
alcohol,8.0,7.0,15.0,0.8860759493670887,0.30781069642170067,-0.578265252945388
brandy,12.0,3.0,15.0,0.37974683544303794,0.461716044632551,0.08196920918951306
salami,14.0,1.0,15.0,0.12658227848101267,0.5386687187379762,0.4120864402569635
yellow pumpkin,13.0,2.0,15.0,0.25316455696202533,0.5001923816852636,0.24702782472323825
pork,15.0,0.0,15.0,0.0,0.5771450557906888,0.5771450557906888
bean,12.0,3.0,15.0,0.37974683544303794,0.461716044632551,0.08196920918951306
fontina,14.0,1.0,15.0,0.12658227848101267,0.5386687187379762,0.4120864402569635
mantis shrimp,12.0,3.0,15.0,0.37974683544303794,0.461716044632551,0.08196920918951306
lean veal,5.0,10.0,15.0,1.2658227848101267,0.19238168526356292,-1.0734410995465637
chestnut flour,13.0,2.0,15.0,0.25316455696202533,0.5001923816852636,0.24702782472323825
salted caper,15.0,0.0,15.0,0.0,0.5771450557906888,0.5771450557906888
veal,12.0,3.0,15.0,0.37974683544303794,0.461716044632551,0.08196920918951306
rosolio,2.0,12.0,14.0,1.5189873417721518,0.07695267410542517,-1.4420346676667266
ladyfinger,1.0,13.0,14.0,1.6455696202531647,0.038476337052712584,-1.607093283200452
ground beef,14.0,0.0,14.0,0.0,0.5386687187379762,0.5386687187379762
